,기업명,PER,EPS,PER(krx),EPS(krx),추정PER,추정EPS,PBR,BPS,배당수익률,이자보상배율,유동비율
196300,애니젠,-9.13,"-1,430",N/A,N/A,N/A,N/A,3.06,"4,265",N/A,N/A,384.4
203450,유니온커뮤니티,13.17,243,12.65,253,N/A,N/A,1.36,"2,346",2.19,16.7,236.1
215600,신라젠,-66.75,-812,N/A,N/A,N/A,N/A,22.92,"2,365",N/A,N/A,N/A
254120,IBKS제5호스팩,135.00,17,N/A,N/A,N/A,N/A,1.21,"1,895",N/A,N/A,N/A
143210,핸즈코퍼레이션,34.01,192,33.66,194,N/A,N/A,0.44,"14,909",1.53,1.4,105.8
241790,오션브릿지,7.75,"1,471",7.69,"1,482",N/A,N/A,2.01,"5,685",3.51,149.4,168.6
220100,퓨쳐켐,-6.96,"-2,112",N/A,N/A,N/A,N/A,5.14,"2,862",N/A,N/A,284.7
144960,뉴파워프라즈마,13.05,"1,609",12.92,"1,625",N/A,N/A,1.32,"15,895",1.33,42.7,584.8
156100,엘앤케이바이오,-21.05,-333,N/A,N/A,N/A,N/A,2.14,"3,271",N/A,N/A,118.6
176440,에이치엔티,841.18,17,794.44,18,N/A,N/A,3.85,"3,710",N/A,7.5,140.9
220180,핸디소프트,-3.38,"-1,320",N/A,N/A,N/A,N/A,1.35,"3,301",N/A,N/A,456.9
241560,두산밥캣,12.98,"2,638",12.97,"2,641",11.00,"2,984",0.92,"37,303",2.63,8.6,162.6
232330,SK3호스팩,116.94,18,N/A,N/A,N/A,N/A,1.10,"1,918",N/A,N/A,N/A
207940,삼성바이오로직스,90.20,"3,387",90.20,"3,387",634.00,482,4.86,"62,805",N/A,N/A,224.4
237880,클리오,412.96,54,377.97,59,39.00,571,2.84,"7,845",0.45,59.1,294.4
900300,오가닉티코스메틱,3.02,774,N/A,N/A,N/A,N/A,0.54,"4,308",5.35,205.8,724.4
238120,로고스바이오,-33.26,-442,N/A,N/A,N/A,N/A,2.53,"5,811",N/A,N/A,N/A
252500,세화피앤씨,72.22,54,69.64,56,N/A,N/A,3.04,"1,285",0.26,76.3,385.5
216050,인크로스,22.97,"1,084",22.72,"1,096",N/A,N/A,3.02,"8,243",N/A,80.7,199.2
239610,에이치엘사이언스,51.59,"2,113",50.77,"2,147",N/A,N/A,8.76,"12,448",0.28,N/A,513.7
241710,코스메카코리아,25.24,840,25.24,840,20.00,"1,046",1.81,"11,702",0.47,3.1,133.6
